n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
10000.0,0.0,0.0,9914.0,5.0,0.0,81.0,0.0005,8.0,8.0,0.999995504109589,0.0,0.0,81.0
10000.0,0.0,0.0,9853.0,31.0,2.0,114.0,0.0031,26.0,34.0,0.9999914119597172,0.0,0.0,114.0
10000.0,0.0,0.0,9760.0,65.0,14.0,161.0,0.0065,36.0,70.0,0.9999853253734527,0.0,0.0,161.0
10000.0,0.0,0.0,9636.0,99.0,58.0,207.0,0.0099,34.0,104.0,0.9999760472680888,0.0,0.0,207.0
10000.0,0.0,0.0,9453.0,150.0,96.0,301.0,0.015,52.0,156.0,0.9999636804669306,0.0,0.0,301.0
10000.0,0.0,0.0,9197.0,202.0,149.0,452.0,0.0202,56.0,212.0,0.9999454303477829,0.0,0.0,452.0
10000.0,0.0,0.0,8825.0,267.0,253.0,655.0,0.0267,66.0,278.0,0.9999199035620772,0.0,0.0,655.0
10000.0,0.0,0.0,8322.0,364.0,415.0,899.0,0.0364,109.0,387.0,0.9998827107734359,0.0,0.0,899.0
10000.0,0.0,0.0,7708.0,540.0,627.0,1125.0,0.054,169.0,556.0,0.9998323640056064,0.0,0.0,1125.0
10000.0,0.0,0.0,6919.0,766.0,867.0,1448.0,0.0766,228.0,784.0,0.9997703739014916,0.0,0.0,1448.0
10000.0,0.0,0.0,6031.0,1044.0,1139.0,1786.0,0.1044,284.0,1068.0,0.999690656665052,0.0,0.0,1786.0
10000.0,0.0,0.0,5106.0,1362.0,1509.0,2023.0,0.1362,304.0,1372.0,0.9995983238279148,0.0,0.0,2023.0
9995.0,5.0,0.0,4219.0,1693.0,1955.0,2128.0,0.1693846923461731,349.0,1721.0,0.999501379605241,0.0,0.0,2128.0
9995.0,0.0,5.0,3469.0,2087.0,2446.0,1993.0,0.20880440220110055,389.0,2110.0,0.999406821815647,0.0,0.0,1993.0
9977.0,18.0,5.0,2901.0,2455.0,2831.0,1790.0,0.24606595168888443,358.0,2468.0,0.999322341247779,0.0,0.0,1790.0
9974.0,3.0,23.0,2472.0,2749.0,3172.0,1581.0,0.27561660316823744,292.0,2760.0,0.999249527237507,0.0,0.0,1581.0
9954.0,20.0,26.0,2158.0,3009.0,3370.0,1417.0,0.30229053646775167,298.0,3058.0,0.9991845726007604,0.0,0.0,1417.0
9953.0,1.0,46.0,1982.0,3243.0,3509.0,1219.0,0.3258314076157942,248.0,3306.0,0.9991271704340017,0.0,0.0,1219.0
9947.0,6.0,47.0,1912.0,3431.0,3480.0,1124.0,0.34492811903086357,233.0,3539.0,0.9990782130180803,0.0,0.0,1124.0
9945.0,2.0,53.0,1852.0,3556.0,3417.0,1120.0,0.3575666163901458,183.0,3722.0,0.9990287008600728,0.0,0.0,1120.0
9939.0,6.0,55.0,1914.0,3652.0,3260.0,1113.0,0.3674413924942147,184.0,3906.0,0.9989777123146821,0.0,0.0,1113.0
9930.0,9.0,61.0,1932.0,3744.0,3111.0,1143.0,0.3770392749244713,196.0,4102.0,0.9989270088475333,0.0,0.0,1143.0
9919.0,11.0,70.0,1976.0,3785.0,3034.0,1124.0,0.38159088617804215,196.0,4298.0,0.9988724336976346,0.0,0.0,1124.0
9911.0,8.0,81.0,1915.0,3820.0,3032.0,1144.0,0.3854303299364343,232.0,4530.0,0.9988229314486787,0.0,0.0,1144.0
9900.0,11.0,89.0,1824.0,3792.0,3139.0,1145.0,0.38303030303030305,210.0,4740.0,0.9987680495017829,0.0,0.0,1145.0
9883.0,17.0,100.0,1745.0,3670.0,3346.0,1122.0,0.37134473338055246,173.0,4913.0,0.9987148250547863,0.0,0.0,1122.0
9867.0,16.0,117.0,1695.0,3494.0,3600.0,1078.0,0.35410965845748454,180.0,5093.0,0.9986644621285392,0.0,0.0,1078.0
9848.0,19.0,133.0,1699.0,3319.0,3874.0,956.0,0.33702274573517466,173.0,5266.0,0.998619871484943,0.0,0.0,956.0
9834.0,14.0,152.0,1710.0,3148.0,4062.0,914.0,0.3201138905836892,158.0,5424.0,0.998580746468869,0.0,0.0,914.0
9812.0,22.0,166.0,1797.0,2970.0,4215.0,830.0,0.30269058295964124,178.0,5602.0,0.998539447036729,0.0,0.0,830.0
9797.0,15.0,188.0,1862.0,2856.0,4245.0,834.0,0.2915178115749719,145.0,5747.0,0.9984974401168973,0.0,0.0,834.0
