n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
2000.0,0.0,0.0,1978.0,2.0,0.0,20.0,0.001,3.0,3.0,0.9999930063926941,0.0,0.0,20.0
2000.0,0.0,0.0,1967.0,6.0,1.0,26.0,0.003,4.0,7.0,0.999989016432518,0.0,0.0,26.0
2000.0,0.0,0.0,1948.0,19.0,2.0,31.0,0.0095,13.0,20.0,0.9999835314860044,0.0,0.0,31.0
2000.0,0.0,0.0,1918.0,24.0,9.0,49.0,0.012,5.0,25.0,0.9999740552015423,0.0,0.0,49.0
2000.0,0.0,0.0,1880.0,35.0,19.0,66.0,0.0175,11.0,36.0,0.9999590925940522,0.0,0.0,66.0
2000.0,0.0,0.0,1830.0,47.0,34.0,89.0,0.0235,14.0,50.0,0.999940147304012,0.0,0.0,89.0
2000.0,0.0,0.0,1774.0,64.0,57.0,105.0,0.032,20.0,70.0,0.9999152247950587,0.0,0.0,105.0
2000.0,0.0,0.0,1707.0,87.0,84.0,122.0,0.0435,16.0,86.0,0.9998873277861133,0.0,0.0,122.0
2000.0,0.0,0.0,1625.0,113.0,114.0,148.0,0.0565,27.0,113.0,0.9998534617333408,0.0,0.0,148.0
2000.0,0.0,0.0,1517.0,137.0,149.0,197.0,0.0685,22.0,135.0,0.9998121334577851,0.0,0.0,197.0
2000.0,0.0,0.0,1410.0,174.0,179.0,237.0,0.087,35.0,170.0,0.9997578547970929,0.0,0.0,237.0
2000.0,0.0,0.0,1278.0,228.0,231.0,263.0,0.114,59.0,229.0,0.9996996293589223,0.0,0.0,263.0
1998.0,2.0,0.0,1142.0,269.0,278.0,309.0,0.13463463463463463,37.0,266.0,0.9996309666837085,0.0,0.0,309.0
1998.0,0.0,2.0,1023.0,319.0,340.0,316.0,0.15965965965965967,57.0,323.0,0.9995548735634494,0.0,0.0,316.0
1995.0,3.0,2.0,895.0,375.0,389.0,336.0,0.18796992481203006,55.0,378.0,0.9994843449117934,0.0,0.0,336.0
1995.0,0.0,5.0,783.0,438.0,445.0,329.0,0.21954887218045113,63.0,441.0,0.9994083856926957,0.0,0.0,329.0
1989.0,6.0,5.0,690.0,492.0,503.0,304.0,0.2473604826546003,68.0,509.0,0.999336991733159,0.0,0.0,304.0
1989.0,0.0,11.0,630.0,537.0,556.0,266.0,0.26998491704374056,46.0,555.0,0.9992706584073753,0.0,0.0,266.0
1987.0,2.0,11.0,574.0,572.0,588.0,253.0,0.28787116255661804,40.0,595.0,0.9992193719613413,0.0,0.0,253.0
1985.0,2.0,13.0,546.0,595.0,614.0,230.0,0.29974811083123426,38.0,633.0,0.9991636364618333,0.0,0.0,230.0
1984.0,1.0,15.0,513.0,618.0,623.0,230.0,0.31149193548387094,38.0,671.0,0.9991181924935677,0.0,0.0,230.0
1983.0,1.0,16.0,512.0,639.0,621.0,211.0,0.32223903177004537,41.0,712.0,0.9990661493792975,0.0,0.0,211.0
1983.0,0.0,17.0,518.0,656.0,604.0,205.0,0.3308119011598588,40.0,752.0,0.9990217035669754,0.0,0.0,205.0
1982.0,1.0,17.0,506.0,658.0,625.0,193.0,0.33198789101917253,35.0,787.0,0.9989702518887125,0.0,0.0,193.0
1979.0,3.0,18.0,508.0,658.0,610.0,203.0,0.3324911571500758,32.0,819.0,0.9989274036088055,0.0,0.0,203.0
1976.0,3.0,21.0,508.0,648.0,621.0,199.0,0.32793522267206476,39.0,858.0,0.9988850977780135,0.0,0.0,199.0
1973.0,3.0,24.0,511.0,625.0,650.0,187.0,0.31677648251393814,34.0,892.0,0.9988398106730877,0.0,0.0,187.0
